id_institution,test_SMAPE,test_R2,test_R2_clip,test_n_obs,paper_RMSE,paper_R2,paper_Harmonic,paper_n_pts,outage_SMAPE,outage_R2
0,21.816419716287236,0.7385224726782144,0.7385224726782144,3480,0.08889219811502154,0.7362220647181159,0.1329729867148104,4008,27.604848672781035,0.576199093712999
1,23.71771103288903,0.5991461873069761,0.5991461873069761,3480,0.017620128135373208,0.6101985765330753,0.033716189051985083,4008,23.36248338827165,0.6019753107757475
2,30.107729048938474,0.1583671420713133,0.1583671420713133,3480,0.05674282838485352,0.1891506339747947,0.10606339411253252,4008,33.3466082681906,0.20575535073877327
3,27.491720111170224,0.7015505794169683,0.7015505794169683,3480,0.07712681867866544,0.704849243579579,0.12229605217155408,4008,31.05205575580291,0.43685834123939815
4,69.47504919199238,0.5220430183504475,0.5220430183504475,3480,0.050876604826582635,0.5039622298309261,0.09228763684315892,4008,86.12905855901644,0.32229357460734576
5,63.69294018851945,0.283649346841767,0.283649346841767,3480,0.0845781460046302,0.4676174165819478,0.14596693022192475,4008,76.61772013369905,0.13721566715793998
6,77.51290199674376,0.26505276563632296,0.26505276563632296,3480,0.044549211084046206,0.25190270177059015,0.08409081238266643,4008,88.75654946056758,0.14585416513126648
7,75.9933220247004,0.5023042411439902,0.5023042411439902,3480,0.017998400433423146,0.504460983361638,0.034735189122919306,4008,87.1004221887323,0.5266930685645272
8,106.05602447796487,0.3138195798407797,0.3138195798407797,3471,0.04868119963215344,0.30027527722643554,0.09102931416522653,4008,110.88936651742193,0.18414191522791856
9,37.6739874552293,0.21808569652049747,0.21808569652049747,3480,0.05191413524403388,0.2471504606262953,0.09713045963218885,4008,46.534945687618375,0.289764844059353
10,45.12928985059139,0.728482961052878,0.728482961052878,3480,0.07879584131546422,0.7313981126943361,0.12184715066029417,4008,47.105543335581665,0.7267393397257103
11,130.4574625382172,-0.20611494562068655,-0.20611494562068655,3480,0.11144643233648226,-0.1830589382778458,0.20370359352357428,4008,126.19674816460255,-0.08906456769557036
12,49.50020686962803,0.4579936758202535,0.4579936758202535,3478,0.06222189613675873,0.5987169742018084,0.10773819034510067,4008,62.19228758128036,0.5956445843884596
13,81.97637657170613,0.011228054567550605,0.011228054567550605,3479,0.028244153807222703,0.01720093972268455,0.05491026977556159,4008,78.77294031548495,0.21013916696951063
